# concept	prose pattern	identifier pattern	landmarks (curated)	search alias
function extensionality	function(al)? extensionality	funext|FunExt|Fun-Ext|dfunext	funext, Fun-Ext, dfunext
propositional extensionality	propositional extensionality	propext|Prop-Ext|PropExt	Prop-Ext, propext, PropExt
univalence	univalence	[Uu]nivalen	is-univalent, Univalence, univalence-gives-funext
propositional truncation	propositional truncations?	truncation|∥_∥|∃!?_	∥_∥, ∣_∣, ∥∥-rec
propositional resizing	propositional resizing|resizing axiom	[Rr]esizing	Propositional-resizing, is-small, resize
set replacement	set replacement	Set-Replacement|set-replacement	set-replacement-construction, Set-Replacement, set-replacement-from-set-quotients-and-prop-trunc
excluded middle	excluded middle	\bEM\b|excluded-middle	EM, excluded-middle, EM-gives-DNE
weak excluded middle	weak excluded middle|\bWEM\b	WEM	WEM, WEM-gives-decomposition-of-two-pointed-types
double negation	double negation	¬¬|double-negation|DN	¬¬-stable, Ω¬¬-to-Ω, is-¬¬-Compact'
axiom of choice	axiom of choice|countable choice|dependent choice	\bAC\b|\bDC\b|[Cc]hoice	K-AC-ℕ, binary-choice, TChoice	choice
LPO	\bLPO\b|limited principle of omniscience	\bLPO\b	LPO, LPO', LPO-variation
WLPO	\bWLPO\b	WLPO	WLPO, WLPO', LPO-gives-WLPO
LLPO	\bLLPO\b|lesser limited principle of omniscience	\bLLPO\b	LLPO, LLPO', untruncated-LLPO
constructive taboo	constructive taboo	[Tt]aboo	⊴-add-taboo, resizing-taboo, shulmans-taboo
identity type	identity types?	＝|Id\b|identity-type	_＝_, transport, ap
equivalence of types	type equivalence|equivalence between	≃|is-equiv|Equiv	is-equiv, ≃-refl, idIsEquiv
embedding	embedding	embedding|↪	is-embedding, _↪_
retract	retract	[Rr]etract	retract, has-section
subsingleton	subsingleton|truth values?|proposition	is-prop|Ω|subsingleton	is-prop, Ω, is-subsingleton
set	is a set|sethood	is-set|sethood	is-set, is-set-explicit
decidable equality	decidable equality|discrete type	is-discrete|decidable-equality	is-discrete, discrete-types-are-sets
isolated point	isolated point	isolated	is-h-isolated, is-isolated, is-isolated'
Hedberg theorem	hedberg	[Hh]edberg	hedberg, local-hedberg, local-hedberg'
structure identity principle	structure identity principle	sns|SNS|structure-identity	SNS, sns-data, frame-sns-data
locally small	locally small|local smallness	locally-small|is-small	is-locally-small, is-small
compactness	compact|exhausti|searchab	[Cc]ompact|searchable	is-compact, is-compact∙, is-compact-open
uniform continuity	uniform(ly)? continu	uniform.*[Cc]ontinu|uniformly-continuous	is-uniformly-continuous, uniformly-continuous, _is-a-modulus-of-uniform-continuity-for_
modulus of continuity	modul(us|i) of (uniform )?continuity	modulus	Lemma[LM-least-modulus], Lemma[LM-₂ℕ-least-modulus], Lemma[LM-modulus]
fan functional	fan functional|fan theorem	[Ff]an	fan-behaviour, fan, cofan
Cantor type	cantor (type|space)	Cantor	Cantor-Schröder-Bernstein, Cantor, Cantor[_]
Baire type	baire	Baire	Baire, Baire-is-totally-separated
generic convergent sequence	convergent sequence|ℕ∞	ℕ∞	ℕ∞-corec, ℕ→𝟚-to-ℕ∞, ℕ∞
total separatedness	totally separated|total separatedness	totally-separated|total-separated	is-totally-separated, totally-separated-types-are-sets
intrinsic topology	intrinsic topology		
continuity principle	continuity (principle|axiom)	[Cc]ontinuity	continuity-data, dialogue-continuity, _is-modulus-of-continuity-of_
ordinal	ordinal	Ordinal|ordinal	Ordinal, OrdinalStructure, Ordinalᵀ
ordinal exponentiation	ordinal exponentiation	exponentiation	exponentiationᴸ, exponentiation-constructions-agree, exponentiationᴸ-has-trichotomous-least-element
transfinite induction	transfinite induction	transfinite	transfinite-induction, transfinite-induction-on-OO, transfinite-induction'
initial segment	initial segments?	initial-segment	is-initial-segment, is-initial-segment', initial-segment-of-sup-at-component
well-founded relation	well.founded	well-founded|WF	well-founded, well-foundedness, is-well-founded
Burali-Forti	burali.forti	Burali|burali	Burali-Forti
poset	poset|partial order	[Pp]oset|order	is-partial-order, Poset
directed complete poset	directed complete|dcpo	[Dd]cpo|DCPO	DCPO, DCPO-structure, is-directed-complete
way-below relation	way.below	way-below|≪	way-below, approximating-family-is-way-below, α∞-is-way-below
ideal completion	ideal completion	[Ii]deal	is-ideal, Ideal, ideality
least upper bound	least upper bound|supremum	sup|lub|least-upper	has-sup, upper-is-sup-δ, is-least-upper-boundᴮ
bottom element	bottom element|least element	⊥|bottom|least	has-bottom, Sᵈᶜᵖᵒ⊥, is-bottom
pointed dcpo	pointed dcpo	pointed	pointed-∞-magma, pointed, pointed-type
domain theory	domain theory|scott	[Dd]omain|[Ss]cott	DCPO, ScottLocale, is-directed-complete
frame	\bframe\b|frame homomorphism	Frame|frame	Frame, frame-structure, frame-homomorphisms-preserve-all-joins
locale	locale	Locale|locale	ScottLocale, Locale, to-locale-＝
